accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb ,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AB902090.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AS_S_2012Dec_47 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AS_S_2012Dec_47,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902142.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_06 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_06,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902152.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_20 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_20,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902160.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_31 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_31,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902162.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_34 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_34,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902171.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_46 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_46,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902183.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_66 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_66,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902198.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_83 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_83,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902203.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOox_H_2012Mar_89 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Niigata: Nagaoka: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOox_H_2012Mar_89,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902218.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOan_H_2012Mar_08 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOan_H_2012Mar_08,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902233.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOan_H_2012Mar_23 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOan_H_2012Mar_23,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902245.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,AOan_H_2012Mar_38 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Myagi: Sendai: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,AOan_H_2012Mar_38,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB902317.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,OD_A_2012Dec_128 ,environmental,activated sludge (ENVO:00002046),waste treatment plant (ENVO:00002272),free-living,NA,NA,Japan: Niigata: Nagaoka: municipal sewage treatment plant,Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press,uncultured eukaryote,OD_A_2012Dec_128,Activated sludge treating municipal sewage,NA,"Japan:Miyagi, Sendai",Molecular Diversity of Eukaryotes in Municipal Wastewater Treatment Processes as Revealed by 18S rRNA Gene Analysis,"Matsunaga,K., Kubota,K. and Harada,H.",Microbes Environ. (2014) In press
AB970232.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,CompH_DNA_47 ,environmental,paddy field soil (ENVO:00005740),cropland (ENVO:01000245),free-living,NA,NA,Japan: Aichi,Impact of long-term fertilizer treatment on microeukaryotic community structure in rice field soil,"Murase,J., Hida,A., Ogawa,K., Nonoyama,T., Yoshikawa,N. and Imai,K.",Unpublished,uncultured eukaryote,CompH_DNA_47,rice field soil,NA,Japan:Aichi,Impact of long-term fertilizer treatment on microeukaryotic community structure in rice field soil,"Murase,J., Hida,A., Ogawa,K., Nonoyama,T., Yoshikawa,N. and Imai,K.",Unpublished
AB970427.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,CompH_RNA_11 ,environmental,paddy field soil (ENVO:00005740),cropland (ENVO:01000245),free-living,NA,NA,Japan: Aichi,Impact of long-term fertilizer treatment on microeukaryotic community structure in rice field soil,"Murase,J., Hida,A., Ogawa,K., Nonoyama,T., Yoshikawa,N. and Imai,K.",Unpublished,uncultured eukaryote,CompH_RNA_11,rice field soil,NA,Japan:Aichi,Impact of long-term fertilizer treatment on microeukaryotic community structure in rice field soil,"Murase,J., Hida,A., Ogawa,K., Nonoyama,T., Yoshikawa,N. and Imai,K.",Unpublished
AF061338.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Monomorphina,Monomorphina piriformis,Monomorphina ovata ,NA,NA,NA,free-living,NA,NA,NA,Direct Submission,"Preisfeld,A., Berger,S. and Ruppel,H.G.","Submitted (23-APR-1998) Biology W5-113, University of Bielefeld, Universitaetsstr. 25, Bielefeld 33615, Germany",Monomorphina ovata,NA,NA,NA,NA,Direct Submission,"Preisfeld,A., Berger,S. and Ruppel,H.G.","Submitted (23-APR-1998) Biology W5-113, University of Bielefeld, Universitaetsstr. 25, Bielefeld 33615, Germany"
AF081589.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Eutreptiales,Eutreptiidae ,Eutreptia,Eutreptia,Eutreptia pertyi UTEX LB1290,culture,NA,saline marsh (ENVO:00000054),free-living,NA,NA,United Kingdom: Brancaster,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Eutreptia pertyi,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF081590.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Eutreptiales,Eutreptiidae ,Eutreptiella gymnastica clade,Eutreptiella gymnastica,Eutreptiella gymnastica NIES 381,culture,sea water (ENVO:00002149),marine (ENVO:00000447),free-living,NA,NA,Japan: Yashima Bay Kagawa,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Eutreptiella gymnastica,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF081591.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Phacus,Phacus pleuronectes,Phacus pleuronectes ,NA,NA,NA,free-living,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Phacus pleuronectes,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF081592.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Colacium,Colacium vesiculosum,Colacium vesiculosum UTEX 1315,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: Cambridge,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Colacium vesiculosum,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF081593.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglena,Euglena gracilis,Euglenaria anabaena ,NA,NA,NA,free-living,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Euglenaria anabaena,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF081594.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Monomorphina,Monomorphina piriformis,Monomorphina ovata UTEX  1305,culture,NA,NA,free-living,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Monomorphina ovata,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y., Nakayama,T., Boo,S.M. and Inouye,I.","Submitted (03-AUG-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF090377.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Trachelomonas,Trachelomonas hispida,Trachelomonas hispida UTEX 1326,culture,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,United Kingdom: East Anglia: Debden,Direct Submission,"Hwang,C.Y. and Boo,S.M.","Submitted (04-SEP-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Trachelomonas hispida,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y. and Boo,S.M.","Submitted (04-SEP-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF090868.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglena,Euglena chadefaudii,Euglena viridis UTEX 85,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,United Kingdom: Cambridge,Direct Submission,"Hwang,C.Y. and Boo,S.M.","Submitted (10-SEP-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Euglena viridis,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y. and Boo,S.M.","Submitted (10-SEP-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
AF090869.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis oxyuris,Lepocinclis oxyuris ,NA,NA,NA,free-living,NA,NA,NA,Direct Submission,"Hwang,C.Y. and Boo,S.M.","Submitted (10-SEP-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea",Lepocinclis oxyuris,NA,NA,NA,NA,Direct Submission,"Hwang,C.Y. and Boo,S.M.","Submitted (10-SEP-1998) Department of Biology, Chungnam National University, Daejon 305-764, Republic of Korea"
