accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,taxon_11,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
KX189131,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_2,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_2,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189132,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_3,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_3,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189133,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_4,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_4,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189134,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_5,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_5,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189135,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_6,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_6,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189136,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_9,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_9,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189137,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_12,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_12,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189138,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_13,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_13,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189139,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_14,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_14,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189140,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_15,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_15,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189141,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_17,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_17,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189142,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_18,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_18,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189143,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_19,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_19,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189144,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_22,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_22,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189145,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_24,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_24,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189146,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_27,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_27,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189147,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_28,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_28,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189148,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_29,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_29,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189149,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_30,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_30,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189150,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_32,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_32,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189151,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_33,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_33,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189152,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_34,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_34,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189153,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_40,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_40,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KX189154,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured marine diplonemid Tara_960_42,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arabian Sea,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished,uncultured marine diplonemid,Tara_960_42,ocean,NA,NA,Unexpected diversity and abundance of planktonic diplonemids in the world ocean,"Flegontova,O.",Unpublished
KJ762460,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured eukaryote SGYH1009,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arctic Ocean,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)",uncultured eukaryote,SGYH1009,SPOTstation 500m,NA,NA,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)"
KJ762465,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured eukaryote SGYH1032,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arctic Ocean,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)",uncultured eukaryote,SGYH1032,SPOTstation 500m,NA,NA,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)"
KJ762486,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured eukaryote SGYH1072,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arctic Ocean,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)",uncultured eukaryote,SGYH1072,SPOTstation 500m,NA,NA,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)"
KJ762505,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured eukaryote SGYH1117,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arctic Ocean,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)",uncultured eukaryote,SGYH1117,SPOTstation 500m,NA,NA,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)"
KJ762516,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured eukaryote SGYH1139,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arctic Ocean,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)",uncultured eukaryote,SGYH1139,SPOTstation 500m,NA,NA,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)"
KJ762523,Eukaryota,Excavata,Discoba,Euglenozoa,Glycomonada,Diplonemea,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,Eupelagonemidae,uncultured eukaryote SGYH1151,environmental,sea water (ENVO:00002149),marine pelagic biome (ENVO:01000023),NA,NA,NA,Arctic Ocean,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)",uncultured eukaryote,SGYH1151,SPOTstation 500m,NA,NA,Investigating Microbial Eukaryotic Diversity from a Global Census: Insights from a Comparison of Pyrotag and Full-Length Sequences of 18S rRNA Genes,"Lie,A.A., Liu,Z., Hu,S.K., Jones,A.C., Kim,D.Y., Countway,P.D., Amaral-Zettler,L.A., Cary,S.C., Sherr,E.B., Sherr,B.F., Gast,R.J. and Caron,D.A.","Appl. Environ. Microbiol. 80 (14), 4363-4373 (2014)"
