accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
HM114341.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis rosea,isolate,plant litter (ENVO:01000628),plant-associated environment (ENVO:01001001),free-living,NA,New Zealand,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis rosea,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114342.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis rosea,isolate,grass (ENVO missing),grassland biome (ENVO:01000177),free-living,NA,Ukraine,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis rosea,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114343.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis rosea,isolate,plant litter (ENVO:01000628),woodland biome (ENVO:01000175),free-living,NA,Australia,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis rosea,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114344.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis kona,isolate,plant litter (ENVO:01000628),terrestrial biome (ENVO:00000446),free-living,NA,USA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis kona,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114345.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis kona,isolate,Organic material (ENVO:01000155),terrestrial biome (ENVO:00000446),free-living,NA,USA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis kona,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114346.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis kona,isolate,plant litter (ENVO:01000628),terrestrial biome (ENVO:00000446),free-living,NA,USA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis kona,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
HM114347.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Acrasis,Acrasis takarsan,isolate,plant litter (ENVO:01000628),terrestrial biome (ENVO:00000446),free-living,NA,Thailand,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)",Acrasis takarsan,NA,NA,NA,NA,"A contemporary evaluation of the acrasids (Acrasidae, Heterolobosea, Excavata)","Brown,M.W., Silberman,J.D. and Spiegel,F.W.","Eur. J. Protistol. 48 (2), 103-123 (2012)"
DQ388519.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Heterolobosea sp. BA,isolate,plant litter (ENVO:01000628),woodland biome (ENVO:01000175),free-living,NA,NA,Environmental Heterolobosean isolates,"Shutt,T.E. and Gray,M.W.",Unpublished,Heterolobosea sp. BA,NA,tree bark,NA,NA,Environmental Heterolobosean isolates,"Shutt,T.E. and Gray,M.W.",Unpublished
DQ388520.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Heterolobosea sp. OSA,isolate,plant litter (ENVO:01000628),woodland biome (ENVO:01000175),free-living,NA,NA,Environmental Heterolobosean isolates,"Shutt,T.E. and Gray,M.W.",Unpublished,Heterolobosea sp. OSA,NA,NA,NA,NA,Environmental Heterolobosean isolates,"Shutt,T.E. and Gray,M.W.",Unpublished
EU266548.2,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. strain SO/1P,isolate,cornea (UBERON:0000964),human-associated environment (ENVO missing),NA,Homo sapiens,Turkey,Identification of Acanthamoeba genotype T4 and Paravahlkampfia sp. from two clinical samples,"Ozkoc,S., Tuncay,S., Delibas,S.B., Akisu,C., Ozbek,Z., Durak,I. and Walochnik,J.","J. Med. Microbiol. 57 (PT 3), 392-396 (2008)",Allovahlkampfia sp. strain SO/1P,NA,corneal scraping of keratitis patient,Homo sapiens,Turkey,Identification of Acanthamoeba genotype T4 and Paravahlkampfia sp. from two clinical samples,"Ozkoc,S., Tuncay,S., Delibas,S.B., Akisu,C., Ozbek,Z., Durak,I. and Walochnik,J.","J. Med. Microbiol. 57 (PT 3), 392-396 (2008)"
EU696948.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia spelaea,isolate,stalagmite (ENVO:00000330),cave (ENVO:00000067),free-living,NA,Slovenia,"Free-living Amoebae in Carbonate Precipitating Microhabitats of Karst Caves and a New Vahlkampfiid Amoeba, Allovahlkampfia spelaea gen. nov., sp. nov.","Walochnik,J. and Mulec,J.","Acta Protozool. 48 (1), 25-33 (2009)",Allovahlkampfia spelaea,NA,stromatolitic stalagmite in Karst cave,NA,Slovenia,"Free-living Amoebae in Carbonate Precipitating Microhabitats of Karst Caves and a New Vahlkampfiid Amoeba, Allovahlkampfia spelaea gen. nov., sp. nov.","Walochnik,J. and Mulec,J.","Acta Protozool. 48 (1), 25-33 (2009)"
JQ271668.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. PKD 2011a,isolate,liver (UBERON:0002107),animal-associated environment (ENVO:01001002),NA,Leuciscus leuciscus,Czech Republic,Illustrated Guide to Culture Collection of Free-living Amoebae,"Dykova,I. and Kostka,M.",Unpublished,Allovahlkampfia sp. PKD 2011a,NA,liver,Leuciscus leuciscus,Czech Republic,Illustrated Guide to Culture Collection of Free-living Amoebae,"Dykova,I. and Kostka,M.",Unpublished
JQ271669.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. PKD 2011a,isolate,liver (UBERON:0002107),animal-associated environment (ENVO:01001002),NA,Pangasius sutchi,NA,Illustrated Guide to Culture Collection of Free-living Amoebae,"Dykova,I. and Kostka,M.",Unpublished,Allovahlkampfia sp. PKD 2011a,NA,liver,Pangasius sutchi,NA,Illustrated Guide to Culture Collection of Free-living Amoebae,"Dykova,I. and Kostka,M.",Unpublished
JQ271670.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. PKD 2011b,isolate,manufactured product (ENVO:00003074),freshwater biome (ENVO:00000873),free-living,NA,Czech Republic,Illustrated Guide to Culture Collection of Free-living Amoebae,"Dykova,I. and Kostka,M.",Unpublished,Allovahlkampfia sp. PKD 2011b,NA,"beer bottle (empty, open)",NA,Czech Republic,Illustrated Guide to Culture Collection of Free-living Amoebae,"Dykova,I. and Kostka,M.",Unpublished
KC346961.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Heterolobosea sp. LC-2013 strain CL2-34,isolate,aerosol (ENVO:00010505),aerial biome (ENVO missing),free-living,NA,NA,Influence of climate and geography on the occurrence of Legionella and amoebae in composting facilities,"Conza,L., Casati,S. and Gaia,V.",Unpublished,Heterolobosea sp. LC-2013 strain CL2-34,NA,aerosol,NA,NA,Influence of climate and geography on the occurrence of Legionella and amoebae in composting facilities,"Conza,L., Casati,S. and Gaia,V.",Unpublished
KC669503.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Heterolobosea sp. 1 VT-2013,isolate,drinking water (ENVO:00003064),freshwater biome (ENVO:00000873),free-living,NA,USA,"Cooccurrence of Free-Living Amoebae and Nontuberculous Mycobacteria in Hospital Water Networks, and Preferential Growth of Mycobacterium avium in Acanthamoeba lenticulata","Ovrutsky,A.R., Chan,E.D., Kartalija,M., Bai,X., Jackson,M., Gibbs,S., Falkinham,J.O. III, Iseman,M.D., Reynolds,P.R., McDonnell,G. and Thomas,V.","Appl. Environ. Microbiol. 79 (10), 3185-3192 (2013)",Heterolobosea sp. 1 VT-2013,NA,hospital drinking water network,NA,USA,"Cooccurrence of Free-Living Amoebae and Nontuberculous Mycobacteria in Hospital Water Networks, and Preferential Growth of Mycobacterium avium in Acanthamoeba lenticulata","Ovrutsky,A.R., Chan,E.D., Kartalija,M., Bai,X., Jackson,M., Gibbs,S., Falkinham,J.O. III, Iseman,M.D., Reynolds,P.R., McDonnell,G. and Thomas,V.","Appl. Environ. Microbiol. 79 (10), 3185-3192 (2013)"
KF547914.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. SG-2014e,isolate,grassland soil (ENVO:00005750),grassland biome (ENVO:01000177),free-living,NA,Italy,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)",Allovahlkampfia sp. SG-2014e,NA,intensively managed grassland soil,NA,Italy: Sardinia,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)"
KF547915.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. SG-2014c,isolate,grassland soil (ENVO:00005750),grassland biome (ENVO:01000177),free-living,NA,Italy,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)",Allovahlkampfia sp. SG-2014c,NA,intensively managed grassland soil,NA,Italy: Sardinia,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)"
KF547916.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. SG-2014a,isolate,pasture soil (ENVO:00005773),pasture (ENVO:00000266),free-living,NA,Netherlands,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)",Allovahlkampfia sp. SG-2014a,NA,pasture soil,NA,Netherlands: Veluwe,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)"
KF547917.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. SG-2014f,isolate,soil (ENVO:00001998),mountain (ENVO:00000081),free-living,NA,China: Tibet,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)",Allovahlkampfia sp. SG-2014f,NA,high altitude soil,NA,"China: Tibet, Mila Mountaintop",Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)"
KF547918.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. SG-2014d,isolate,soil (ENVO:00001998),mountain (ENVO:00000081),free-living,NA,China: Tibet,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)",Allovahlkampfia sp. SG-2014d,NA,high altitude soil,NA,"China: Tibet, Mila West Slope",Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)"
KF547919.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,Allovahlkampfia sp. SG-2014b,isolate,soil (ENVO:00001998),mountain (ENVO:00000081),free-living,NA,China: Tibet,Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)",Allovahlkampfia sp. SG-2014b,NA,high altitude soil,NA,"China: Tibet, Mila East Slope",Heterogeneity in the genus Allovahlkampfia and the description of the new genus Parafumarolamoeba (Vahlkampfiidae; Heterolobosea),"Geisen,S., Bonkowski,M., Zhang,J. and De Jonckheere,J.F.","Eur. J. Protistol. 51 (4), 335-349 (2015)"
KM220721.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Acrasida,Acrasidae,Allovahlkampfia,FLA_164,isolate,drinking water (ENVO:00003064),freshwater biome (ENVO:00000873),free-living,NA,NA,First evidence of amoebae-mycobacteria association in drinking water network,"Delafont,V., Mougari,F., Cambau,E., Joyeux,M., Bouchon,D., Hechard,Y. and Moulin,L.","Environ. Sci. Technol. 48 (20), 11872-11882 (2014)",Allovahlkampfia sp. strain SO/1P,FLA_164,drinking water network,NA,NA,First evidence of amoebae-mycobacteria association in drinking water network,"Delafont,V., Mougari,F., Cambau,E., Joyeux,M., Bouchon,D., Hechard,Y. and Moulin,L.","Environ. Sci. Technol. 48 (20), 11872-11882 (2014)"
KJ210081.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia,Creneidae,Creneis,Creneis carolina,isolate,marine sediment (ENVO:03000033),marine (ENVO:00000447),free-living,NA,Canada,"Creneis carolina gen. et sp. nov. (Heterolobosea), a Novel Marine Anaerobic Protist with Strikingly Derived Morphology and Life Cycle","Panek,T., Simpson,A.G., Hampl,V. and Cepicka,I.","Protist 165 (4), 542-567 (2014)",Creneis carolina,NA,NA,NA,NA,"Creneis carolina gen. et sp. nov. (Heterolobosea), a Novel Marine Anaerobic Protist with Strikingly Derived Morphology and Life Cycle","Panek,T., Simpson,A.G., Hampl,V. and Cepicka,I.","Protist 165 (4), 542-567 (2014)"
DQ504339.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfiidae,LC103_5EP_3,environmental,water (ENVO:00002006),marine hydrothermal vent biome (ENVO:01000030),free-living,NA,NA,Eukaryotic diversity associated with carbonates and fluid-seawater interface in Lost City hydrothermal field,"Lopez-Garcia,P., Vereshchaka,A. and Moreira,D.","Environ. Microbiol. 9 (2), 546-554 (2007)",uncultured heterolobosean,LC103_5EP_3,Lost City,NA,NA,Eukaryotic diversity associated with carbonates and fluid-seawater interface in Lost City hydrothermal field,"Lopez-Garcia,P., Vereshchaka,A. and Moreira,D.","Environ. Microbiol. 9 (2), 546-554 (2007)"
AF011459.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade VI,Tetramitia clade VI,Euplaesiobystra,Euplaesiobystra hypersalinica,isolate,NA,NA,free-living,NA,NA,Phylogenetic diversity of the Heteroloboseans (amoebae-flagellates) as revealed by nuclear 16S-like gene analyses,"Silberman,J.D., Roger,A.J., Nerad,T.A., Gunderson,J.H. and Sogin,M.L.",Unpublished,Euplaesiobystra hypersalinica,NA,NA,NA,NA,Phylogenetic diversity of the Heteroloboseans (amoebae-flagellates) as revealed by nuclear 16S-like gene analyses,"Silberman,J.D., Roger,A.J., Nerad,T.A., Gunderson,J.H. and Sogin,M.L.",Unpublished
FJ222604.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade VI,Tetramitia clade VI,Euplaesiobystra,Euplaesiobystra hypersalinica,isolate,NA,saline evaporation pond (ENVO:00000055),free-living,NA,South Korea,"Ultrastructure and Molecular Phylogeny of two Heterolobosean Amoebae, Euplaesiobystra hypersalinica gen. et sp. nov. and Tulamoeba peronaphora gen. et sp. nov., Isolated from an Extremely Hypersaline Habitat","Park,J.S., Simpson,A.G., Brown,S. and Cho,B.C.","Protist 160 (2), 265-283 (2009)",Euplaesiobystra hypersalinica,NA,solar saltern crystallizer,NA,South Korea: Seosin,"Ultrastructure and Molecular Phylogeny of two Heterolobosean Amoebae, Euplaesiobystra hypersalinica gen. et sp. nov. and Tulamoeba peronaphora gen. et sp. nov., Isolated from an Extremely Hypersaline Habitat","Park,J.S., Simpson,A.G., Brown,S. and Cho,B.C.","Protist 160 (2), 265-283 (2009)"
KT210042.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade VI,Tetramitia clade VI,Euplaesiobystra,4_8,isolate,NA,saline lake (ENVO:00000019),free-living,NA,Australia,Diversity of Heterotrophic Protists from Extremely Hypersaline Habitats,"Park,J.S. and Simpson,A.G.","Protist 166 (4), 422-437 (2015)",Euplaesiobystra sp. H3,43198,hypersaline: 290 ppt,NA,Australia: Hutt Lagoon,Diversity of Heterotrophic Protists from Extremely Hypersaline Habitats,"Park,J.S. and Simpson,A.G.","Protist 166 (4), 422-437 (2015)"
