accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AY063288,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella tabogae,Snyderella tabogae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA: Florida: Broward County,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Snyderella tabogae,1,NA,Cryptotermes cavifrons,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AY063289,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella tabogae,Snyderella tabogae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA: Florida: Broward County,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Snyderella tabogae,2,NA,Cryptotermes cavifrons,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AY063290,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella tabogae,Snyderella tabogae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA: Florida: Broward County,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Snyderella tabogae,3,NA,Cryptotermes cavifrons,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AY063291,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella tabogae,Snyderella tabogae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA: Florida: Broward County,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Snyderella tabogae,4,NA,Cryptotermes cavifrons,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
AY063292,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella tabogae,Snyderella tabogae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA: Florida: Broward County,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)",Snyderella tabogae,5,NA,Cryptotermes cavifrons,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Devescovinidae and Calonymphidae (Trichomonadea)","Gerbod,D., Noel,C., Dolan,M.F., Edgcomb,V.P., Kitade,O., Noda,S., Dufernez,F., Ohkuma,M., Kudo,T., Capron,M., Sogin,M.L. and Viscogliosi,E.","Mol. Phylogenet. Evol. 25 (3), 545-556 (2002)"
FN649413,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella tabogae,Snyderella tabogae,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641610,Cryptotermes longicollis,NA,Bacteroidales ectosymbionts of gut flagellates shape the nitrogen-fixing community in dry-wood termites,"Desai,M.S. and Brune,A.","ISME J 6 (7), 1302-1313 (2012)",Snyderella tabogae,ClSntb13,NA,Cryptotermes longicollis,NA,Bacteroidales ectosymbionts of gut flagellates shape the nitrogen-fixing community in dry-wood termites,"Desai,M.S. and Brune,A.","ISME J 6 (7), 1302-1313 (2012)"
HQ593144,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Snyderella,Snyderella,Snyderella yamini,Snyderella yamini,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,931985,Calcaritermes nearcticus,USA: Florida,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)",Snyderella yamini,NA,NA,Calcaritermes nearcticus,NA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)"
DQ855403,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Stephanonympha,Stephanonympha,Stephanonympha nelumbium,Stephanonympha nelumbium,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60569,Cryptotermes domesticus,Japan: Iriomote Island,Molecular phylogenetic position of the genera Stephanonympha and Caduceia (Parabasalia) inferred from nuclear small subunit rRNA gene sequences,"Noel,C., Noda,S., Mantini,C., Dolan,M.F., Moriya,S., Delgado-Viscogliosi,P., Kudo,T., Capron,M., Pierce,R.J., Ohkuma,M. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (1), 93-99 (2007)",Stephanonympha nelumbium,1,NA,Cryptotermes domesticus,NA,Molecular phylogenetic position of the genera Stephanonympha and Caduceia (Parabasalia) inferred from nuclear small subunit rRNA gene sequences,"Noel,C., Noda,S., Mantini,C., Dolan,M.F., Moriya,S., Delgado-Viscogliosi,P., Kudo,T., Capron,M., Pierce,R.J., Ohkuma,M. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (1), 93-99 (2007)"
DQ855404,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Stephanonympha,Stephanonympha,Stephanonympha nelumbium,Stephanonympha nelumbium,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60569,Cryptotermes domesticus,Japan: Iriomote Island,Molecular phylogenetic position of the genera Stephanonympha and Caduceia (Parabasalia) inferred from nuclear small subunit rRNA gene sequences,"Noel,C., Noda,S., Mantini,C., Dolan,M.F., Moriya,S., Delgado-Viscogliosi,P., Kudo,T., Capron,M., Pierce,R.J., Ohkuma,M. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (1), 93-99 (2007)",Stephanonympha nelumbium,2,NA,Cryptotermes domesticus,NA,Molecular phylogenetic position of the genera Stephanonympha and Caduceia (Parabasalia) inferred from nuclear small subunit rRNA gene sequences,"Noel,C., Noda,S., Mantini,C., Dolan,M.F., Moriya,S., Delgado-Viscogliosi,P., Kudo,T., Capron,M., Pierce,R.J., Ohkuma,M. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (1), 93-99 (2007)"
AB458857,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Stephanonympha,Stephanonympha,Stephanonympha,Stephanonympha sp. CcStS7,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641613,Cryptotermes cavifrons,USA,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press,Stephanonympha sp. CcStS7,CcStS7,NA,Cryptotermes cavifrons,NA,Molecular phylogeny of parabasalids with emphasis on the order Cristamonadida and its complex morphological evolution,"Noda,S., Mantini,C., Bordereau,C., Kitade,O., Dolan,M.F., Viscogliosi,E. and Ohkuma,M.",Mol. Phylogenet. Evol. (2009) In press
AB032216,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Cristamonadida,Cristamonadida,Cristamonadida,Cryptotermes domesticus parabasalian symbiont clone Cd16,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60569,Cryptotermes domesticus,Japan: Iriomote Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Cryptotermes domesticus parabasalian symbiont clone Cd16,Cd16,NA,Cryptotermes domesticus,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
JX679411,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha clevelandii,Coronympha clevelandii,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,104041,Incisitermes immigrans,USA: Hawaii: Oahu,Molecular characterization of parabasalian symbionts Coronympha clevelandii and Trichonympha subquasilla from the Hawaiian lowland tree termite Incisitermes immigrans,"James,E.R., Burki,F., Harper,J.T., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2013) In press,Coronympha clevelandii,NA,NA,Incisitermes immigrans,NA,Molecular characterization of parabasalian symbionts Coronympha clevelandii and Trichonympha subquasilla from the Hawaiian lowland tree termite Incisitermes immigrans,"James,E.R., Burki,F., Harper,J.T., Scheffrahn,R.H. and Keeling,P.J.",J. Eukaryot. Microbiol. (2013) In press
FJ986221,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha koidzumia,Coronympha koidzumia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,765389,Incisitermes milleri,USA: Florida: John Pennekamp State Park,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)",Coronympha koidzumia,NA,NA,NA,NA,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)"
FJ986222,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha mackinnonia,Coronympha mackinnonia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,765390,Incisitermes schwarzi,USA: Florida: John Pennekamp State Park,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)",Coronympha mackinnonia,NA,NA,NA,NA,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)"
U17504,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha octonaria,Coronympha octonaria,culture,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,46565,Incisitermes snyderi/schwarzi,NA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)",Coronympha octonaria,NA,NA,Incisitermes snyderi,NA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)"
FJ986220,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha sutherlandia,Coronympha sutherlandia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,765388,Incisitermes banksi,USA: Texas,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)",Coronympha sutherlandia,NA,NA,NA,NA,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)"
FJ986219,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha valentinia,Coronympha valentinia,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,46566,Incisitermes snyderi,USA: Florida: Clewiston,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)",Coronympha valentinia,NA,NA,NA,NA,The inadequacy of morphology for species and genus delineation in microbial eukaryotes: an example from the parabasalian termite symbiont coronympha,"Harper,J.T., Gile,G.H., James,E.R., Carpenter,K.J. and Keeling,P.J.","PLoS ONE 4 (8), E6577 (2009)"
AB032217,Eukaryota,Excavata,Metamonada,Parabasalia,Cristamonadea,Cristamonadida,Coronympha,Coronympha,Coronympha mackinnonia clone Ii1,Coronympha mackinnonia clone Ii1,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,46565,Incisitermes snyderi/schwarzi,Japan: Minami-Daitoh Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Incisitermes immigrans parabasalian symbiont clone Ii1,Ii1,NA,Incisitermes immigrans,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
